District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP,Class,,,,,,,,,,
D,BENGALURU URBAN,846,1128,33,E,,,,,,,,,,
T,Anekal,902,1036,15,N,,,,,,,,,,
H,Anekal_1,902,848,-6,N,,,,,,,,,,
H,Attibele_1,824,892,8,N,,,,,,,,,,
H,Jigani_1,845,1149,36,E,,,,,,,,,,
H,Sarjapura_1,748,1154,54,E,,,,,,,,,,
H,Anekal_2,881,956,9,N,,,,,,,,,,
H,Jigani_2,865,1121,30,E,,,,,,,,,,
H,Attibele_2,857,1131,32,E,,,,,,,,,,
H,Sarjapura_1,855,1088,27,E,,,,,,,,,,
H,Sarjapura_3,814,1053,29,E,,,,,,,,,,
T,Bengaluru North,1004,1158,15,N,,,,,,,,,,
H,Bengaluru North_1,1004,1207,20,E,,,,,,,,,,
H,Dasanapura_1,896,1159,29,E,,,,,,,,,,
H,Yashavantapura_1,819,1152,41,E,,,,,,,,,,
H,Bengaluru North_2,854,939,10,N,,,,,,,,,,
H,Yashavantapura_2,866,1286,49,E,,,,,,,,,,
H,Dasanapura_2,872,1023,17,N,,,,,,,,,,
H,Dasanapura_3,900,1031,15,N,,,,,,,,,,
T,Bengaluru South,820,1156,41,E,,,,,,,,,,
H,Beguru_3,820,1068,30,E,,,,,,,,,,
H,Kengeri_1,905,1205,33,E,,,,,,,,,,
H,Tavarekere_1,734,1150,57,E,,,,,,,,,,
H,Uttarahalli_4,905,1353,50,E,,,,,,,,,,
H,Uttarahalli_1,886,1018,15,N,,,,,,,,,,
H,Uttarahalli_2,872,1120,28,E,,,,,,,,,,
H,Uttarahalli_3,863,1307,51,E,,,,,,,,,,
H,Uttarahalli_5,941,1120,19,N,,,,,,,,,,
H,Beguru_1,912,1166,28,E,,,,,,,,,,
H,Beguru_2,875,1016,16,N,,,,,,,,,,
H,Kengeri_2,878,1219,39,E,,,,,,,,,,
H,Kengeri_3,860,1192,39,E,,,,,,,,,,
H,Kengeri_4,852,1509,77,LE,,,,,,,,,,
H,Tavarekere_2,961,906,-6,N,,,,,,,,,,
H,Tavarekere_3,871,1199,38,E,,,,,,,,,,
T,Bengaluru East,815,1101,35,E,,,,,,,,,,
H,Mahadevpura_1,815,1059,30,E,,,,,,,,,,
H,Bidarahalli_2,828,1083,31,E,,,,,,,,,,
H,Varturu_1,818,1108,35,E,,,,,,,,,,
H,K R Pura_2,855,1094,28,E,,,,,,,,,,
H,K R Pura_3,827,1126,36,E,,,,,,,,,,
H,Varturu_2,881,1018,16,N,,,,,,,,,,
H,Bidarahalli_1,821,1036,26,E,,,,,,,,,,
H,Mahadevapura_2,882,1003,14,N,,,,,,,,,,
H,Marathahalli,891,1313,47,E,,,,,,,,,,
H,Bidharahalli_3,799,1196,50,E,,,,,,,,,,
T,Yelahanka,752,1212,61,LE,,,,,,,,,,
H,Yelahanka_1,752,1277,70,LE,,,,,,,,,,
H,Yelahanka_2,785,1079,37,E,,,,,,,,,,
H,Yelahanka_3,801,1166,46,E,,,,,,,,,,
H,Jala_1,760,1055,39,E,,,,,,,,,,
H,Jala_2,763,1214,59,E,,,,,,,,,,
H,Jala_3,781,1218,56,E,,,,,,,,,,
H,Hesarughatta_1,746,1186,59,E,,,,,,,,,,
H,Hesarughatta_2,781,1286,65,LE,,,,,,,,,,
D,BENGALURU RURAL,798,1256,57,E,,,,,,,,,,
T,Devanahalli,808,1226,52,E,,,,,,,,,,
H,Devanahalli,808,1261,56,E,,,,,,,,,,
H,Channarayapatna,796,1191,50,E,,,,,,,,,,
H,Kundana,786,1249,59,E,,,,,,,,,,
H,Vijaypura,787,1201,53,E,,,,,,,,,,
T,DODDABALLAPURA,799,1305,63,LE,,,,,,,,,,
H,Dodballapur,799,1272,59,E,,,,,,,,,,
H,Dodda Belavangala,792,1277,61,LE,,,,,,,,,,
H,Madure,812,1243,53,E,,,,,,,,,,
H,Sasalu,709,1326,87,LE,,,,,,,,,,
H,Tubagere,787,1392,77,LE,,,,,,,,,,
T,HOSAKOTE,857,1240,45,E,,,,,,,,,,
H,Hosakote,857,1023,19,N,,,,,,,,,,
H,Anugondhalli,731,1188,62,LE,,,,,,,,,,
H,Jadigenhalli,796,1368,72,LE,,,,,,,,,,
H,Nandagudi,777,1381,78,LE,,,,,,,,,,
H,Sulibele,803,1141,42,E,,,,,,,,,,
T,Nelamangala,954,1224,28,E,,,,,,,,,,
H,Nelamangala,954,1188,25,E,,,,,,,,,,
H,Sompura,794,1214,53,E,,,,,,,,,,
H,Tyamagondal,877,1236,41,E,,,,,,,,,,
H,Nelamangala_2,891,1204,35,E,,,,,,,,,,
H,Sompura_2,827,1446,75,LE,,,,,,,,,,
H,Tyamagondal_2,870,1275,47,E,,,,,,,,,,
D,RAMANAGARA,840,1087,29,E,,,,,,,,,,
T,Channapatna,861,1052,22,E,,,,,,,,,,
H,Channapatna,861,1078,25,E,,,,,,,,,,
H,Maluru,843,1097,30,E,,,,,,,,,,
H,Virupakshipura,843,993,18,N,,,,,,,,,,
T,Kanakapura,797,1059,33,E,,,,,,,,,,
H,Kanakapura,797,1191,49,E,,,,,,,,,,
H,Dodda Maralavadi,828,1187,43,E,,,,,,,,,,
H,Harohalli,845,1168,38,E,,,,,,,,,,
H,Kodihalli,802,938,17,N,,,,,,,,,,
H,Satnuru,798,1055,32,E,,,,,,,,,,
H,Uyyamballi,792,901,14,N,,,,,,,,,,
T,Magadi,1000,1151,15,N,,,,,,,,,,
H,Magadi,1000,1185,19,N,,,,,,,,,,
H,Kuduru,841,1180,40,E,,,,,,,,,,
H,Madabal,968,1121,16,N,,,,,,,,,,
H,Solur,881,1207,37,E,,,,,,,,,,
H,Tippasanara,822,1017,24,E,,,,,,,,,,
T,Ramanagara,921,1106,20,E,,,,,,,,,,
H,Ramanagara_1,921,1072,16,N,,,,,,,,,,
H,Bidadi,865,1236,43,E,,,,,,,,,,
H,Kailancha,867,1053,21,E,,,,,,,,,,
H,Kutgallu,887,1065,20,E,,,,,,,,,,
H,Ramanagara_2,889,973,9,N,,,,,,,,,,
H,Kailancha_2,872,1010,16,N,,,,,,,,,,
D,KOLAR,735,1316,79,LE,,,,,,,,,,
T,Bangarapet,764,1194,56,E,,,,,,,,,,
H,Bangarapet,764,1225,60,LE,,,,,,,,,,
H,Budikote,687,1102,60,LE,,,,,,,,,,
H,Kamsandra,778,1265,63,LE,,,,,,,,,,
H,Robertsonpet,818,1233,51,E,,,,,,,,,,
T,Kolar,784,1396,78,LE,,,,,,,,,,
H,Kolar,784,1365,74,LE,,,,,,,,,,
H,Holuru,745,1312,76,LE,,,,,,,,,,
H,Huttur,768,1311,71,LE,,,,,,,,,,
H,Narasapura,753,1296,72,LE,,,,,,,,,,
H,Sugaturu,763,1462,92,LE,,,,,,,,,,
H,Vakkaleri,738,1495,103,LE,,,,,,,,,,
H,Rajakallahalli Vemagal,758,1492,97,LE,,,,,,,,,,
T,Malur,798,1164,46,E,,,,,,,,,,
H,Malur,798,1243,56,E,,,,,,,,,,
H,Lakkur,529,1229,132,LE,,,,,,,,,,
H,Masathi,633,1095,73,LE,,,,,,,,,,
H,Tyakal,649,1057,63,LE,,,,,,,,,,
T,MULABAGILU,804,1343,67,LE,,,,,,,,,,
H,Mulbagal,804,1234,54,E,,,,,,,,,,
H,Avani,775,1455,88,LE,,,,,,,,,,
H,Bairakur,734,1322,80,LE,,,,,,,,,,
H,Duggasandra,753,1375,83,LE,,,,,,,,,,
H,Tayilur,708,1289,82,LE,,,,,,,,,,
T,Srinivasapura,758,1458,92,LE,,,,,,,,,,
H,Srinivasapura,758,1455,92,LE,,,,,,,,,,
H,Nelavanki,664,1966,196,LE,,,,,,,,,,
H,Ronuru,711,1257,77,LE,,,,,,,,,,
H,Rayalpadu,639,1435,124,LE,,,,,,,,,,
H,Yelldur,710,1244,75,LE,,,,,,,,,,
T,K.G.F,890,1169,31,E,,,,,,,,,,
H,Betamangala,797,1126,41,E,,,,,,,,,,
H,Kyasamballi,785,1218,55,E,,,,,,,,,,
H,Robertsonpet,890,1146,29,E,,,,,,,,,,
D,CHIKKABALLAPURA,736,1269,73,LE,,,,,,,,,,
T,Bagepalli,695,1121,61,LE,,,,,,,,,,
H,Bagepalli,695,1132,63,LE,,,,,,,,,,
H,Chelur,706,1228,74,LE,,,,,,,,,,
H,Guluru,696,991,42,E,,,,,,,,,,
H,Mittemari,715,1184,66,LE,,,,,,,,,,
H,Pathapalya,701,1117,59,E,,,,,,,,,,
T,CHIKKABALLAPURA,828,1311,58,E,,,,,,,,,,
H,Chikballapura,828,1315,59,E,,,,,,,,,,
H,Mandikal,723,1299,80,LE,,,,,,,,,,
H,Nandi,808,1335,65,LE,,,,,,,,,,
T,Chintamani,787,1311,67,LE,,,,,,,,,,
H,Chintamani,787,1408,79,LE,,,,,,,,,,
H,Ambajidurga,768,1238,61,LE,,,,,,,,,,
H,Chilakalanerpu,722,1181,63,LE,,,,,,,,,,
H,Kaiwara,736,1356,84,LE,,,,,,,,,,
H,Munganahalli,730,1345,84,LE,,,,,,,,,,
H,Murugamale,749,1409,88,LE,,,,,,,,,,
T,Gauribidanur,704,1331,89,LE,,,,,,,,,,
H,Gauribidanur,704,1193,69,LE,,,,,,,,,,
H,D.Palya,713,1533,115,LE,,,,,,,,,,
H,Hosur,709,1175,66,LE,,,,,,,,,,
H,Manchenahalli,786,1342,71,LE,,,,,,,,,,
H,Nagaragere,695,1374,98,LE,,,,,,,,,,
H,Tondebavi,758,1481,95,LE,,,,,,,,,,
T,Gudibanda,694,1181,70,LE,,,,,,,,,,
H,Gudibanda,694,1244,79,LE,,,,,,,,,,
H,Somenahalli,728,1129,55,E,,,,,,,,,,
T,Sidlaghatta,763,1313,72,LE,,,,,,,,,,
H,Sidlaghatta,763,1404,84,LE,,,,,,,,,,
H,Bashattahalli,765,1324,73,LE,,,,,,,,,,
H,Jangamakote,776,1290,66,LE,,,,,,,,,,
H,Sadali,735,1223,66,LE,,,,,,,,,,
D,TUMAKURU,669,1109,66,LE,,,,,,,,,,
T,CHIKKANAYAKANAHALLI,761,1112,46,E,,,,,,,,,,
H,Chiknayakanahalli,761,1237,63,LE,,,,,,,,,,
H,Handanakere,595,1018,71,LE,,,,,,,,,,
H,Huliyaru,504,1083,115,LE,,,,,,,,,,
H,Kandikere,610,1218,100,LE,,,,,,,,,,
H,Shettikeri,700,1091,56,E,,,,,,,,,,
T,Gubbi,809,1228,52,E,,,,,,,,,,
H,Gubbi,809,1262,56,E,,,,,,,,,,
H,Chandrashekerapura,692,1213,75,LE,,,,,,,,,,
H,Chelur,729,1161,59,E,,,,,,,,,,
H,Hagalavadi,655,1267,93,LE,,,,,,,,,,
H,Kadaba,787,1122,43,E,,,,,,,,,,
H,Nittur,789,1315,67,LE,,,,,,,,,,
T,Koratagere,777,1238,59,E,,,,,,,,,,
H,Koratagere,777,1071,38,E,,,,,,,,,,
H,Chennarayadurga,787,1440,83,LE,,,,,,,,,,
H,Holanahalli,768,1127,47,E,,,,,,,,,,
H,Kolala,720,1234,71,LE,,,,,,,,,,
T,Kunigal,825,1196,45,E,,,,,,,,,,
H,Kunigal,825,1304,58,E,,,,,,,,,,
H,Amrutur,675,1261,87,LE,,,,,,,,,,
H,Huliyurudurga,741,1164,57,E,,,,,,,,,,
H,Huttariduraga,799,1268,59,E,,,,,,,,,,
H,Kottagere,752,1073,43,E,,,,,,,,,,
H,Yedeyur,669,1143,71,LE,,,,,,,,,,
T,Madhugiri,730,1032,41,E,,,,,,,,,,
H,Madhugiri,730,1065,46,E,,,,,,,,,,
H,Dodderi,594,1119,88,LE,,,,,,,,,,
H,Itakadibbanahalli,616,1077,75,LE,,,,,,,,,,
H,Kodigenahalli,632,891,41,E,,,,,,,,,,
H,Midigesi,553,1002,81,LE,,,,,,,,,,
H,Puravara,674,1011,50,E,,,,,,,,,,
T,Pavagada,611,894,46,E,,,,,,,,,,
H,Pavagada,611,962,57,E,,,,,,,,,,
H,Nagalamadike,588,840,43,E,,,,,,,,,,
H,Nidagal,518,955,84,LE,,,,,,,,,,
H,Yellappanayakana Hosakote,532,860,62,LE,,,,,,,,,,
T,Sira,638,1023,60,LE,,,,,,,,,,
H,Sira,638,945,48,E,,,,,,,,,,
H,Bukkaptna,579,1088,88,LE,,,,,,,,,,
H,Gowdagere,581,938,62,LE,,,,,,,,,,
H,Hulikunta,506,1005,99,LE,,,,,,,,,,
H,Kallambella,606,1178,94,LE,,,,,,,,,,
T,Tiptur,731,1196,64,LE,,,,,,,,,,
H,Tiptur,731,1236,69,LE,,,,,,,,,,
H,Honnavalli,705,1170,66,LE,,,,,,,,,,
H,Kibbanahalli,607,1241,104,LE,,,,,,,,,,
H,Nonavinakere,720,1165,62,LE,,,,,,,,,,
T,Tumakuru,830,1228,48,E,,,,,,,,,,
H,Tumakuru North,830,1189,43,E,,,,,,,,,,
H,Bellavi,788,1249,59,E,,,,,,,,,,
H,Guluru,869,1070,23,E,,,,,,,,,,
H,Hebbur,678,1198,77,LE,,,,,,,,,,
H,Uradigere,682,1169,71,LE,,,,,,,,,,
H,Kora,788,1528,94,LE,,,,,,,,,,
H,Tumakuru East,844,1129,34,E,,,,,,,,,,
H,Tumakuru West,839,1079,29,E,,,,,,,,,,
H,Tumakuru South,846,1041,23,E,,,,,,,,,,
T,Turuvekere,772,1104,43,E,,,,,,,,,,
H,Turuvekere,772,1079,40,E,,,,,,,,,,
H,Dabbegatta,605,1058,75,LE,,,,,,,,,,
H,Dandinasivara,707,1079,53,E,,,,,,,,,,
H,Mayasandra,657,1186,81,LE,,,,,,,,,,
D,CHITRADURGA,540,872,61,LE,,,,,,,,,,
T,Challakere,485,779,61,LE,,,,,,,,,,
H,Challakere,485,813,68,LE,,,,,,,,,,
H,Nayakanahatti,428,691,62,LE,,,,,,,,,,
H,Parasurampura,410,814,98,LE,,,,,,,,,,
H,Thalku,392,782,100,LE,,,,,,,,,,
T,Chitradurga,666,896,35,E,,,,,,,,,,
H,Chitradurga,666,849,28,E,,,,,,,,,,
H,Bharmasagara,601,1007,67,LE,,,,,,,,,,
H,Hire Guntanur,576,855,48,E,,,,,,,,,,
H,Turuvanur,581,891,53,E,,,,,,,,,,
T,Hiriyur,578,884,53,E,,,,,,,,,,
H,Hiriyur,578,922,59,E,,,,,,,,,,
H,Aymangala,517,787,52,E,,,,,,,,,,
H,Dharmapura,481,881,83,LE,,,,,,,,,,
H,Javanagondanahalli,562,977,74,LE,,,,,,,,,,
T,Holalkere,722,849,18,N,,,,,,,,,,
H,Holalkere,722,861,19,N,,,,,,,,,,
H,Bharmanaikanadurga,648,668,3,N,,,,,,,,,,
H,Ramagiri,535,938,75,LE,,,,,,,,,,
H,Talya,650,899,38,E,,,,,,,,,,
T,Hosadurga,648,1100,70,LE,,,,,,,,,,
H,Hosadurga,648,950,47,E,,,,,,,,,,
H,Madadhakeri,573,1003,75,LE,,,,,,,,,,
H,Mathodu,580,1291,122,LE,,,,,,,,,,
H,Srirampura,564,1269,125,LE,,,,,,,,,,
T,Molakalmuru,545,651,19,E,,,,,,,,,,
H,Molakalmuru,545,662,21,E,,,,,,,,,,
H,Devasamudra,400,634,58,E,,,,,,,,,,
D,DAVANAGERE,659,987,50,E,,,,,,,,,,
T,Channagiri,840,1057,26,E,,,,,,,,,,
H,Channagiri,840,1159,38,E,,,,,,,,,,
H,Basavapatna_1,703,1182,68,LE,,,,,,,,,,
H,Basavapatna_2,682,823,21,E,,,,,,,,,,
H,Santebannur_1,710,993,40,E,,,,,,,,,,
H,Santebannur_2,741,1039,40,E,,,,,,,,,,
H,Ubrani,752,988,31,E,,,,,,,,,,
T,Davanagere,641,1028,60,LE,,,,,,,,,,
H,Davangere,641,965,51,E,,,,,,,,,,
H,Anogodu,599,1107,85,LE,,,,,,,,,,
H,Mayakonda,639,1004,57,E,,,,,,,,,,
T,HARIHARA,630,993,58,E,,,,,,,,,,
H,Harihara,630,968,54,E,,,,,,,,,,
H,Malebennur,586,1013,73,LE,,,,,,,,,,
T,Honnali,662,1026,55,E,,,,,,,,,,
H,Honnali,662,1012,53,E,,,,,,,,,,
H,Govinakovi_2,667,969,45,E,,,,,,,,,,
H,Sasavehalli_1,719,1119,56,E,,,,,,,,,,
H,Sasavehalli_2,640,978,53,E,,,,,,,,,,
T,Jagalur,528,742,41,E,,,,,,,,,,
H,Jagalur,528,717,36,E,,,,,,,,,,
H,Bilichodu,504,808,60,LE,,,,,,,,,,
H,Sokke,574,711,24,E,,,,,,,,,,
T,Nyamati,826,1239,50,E,,,,,,,,,,
H,Belagutti,826,1309,59,E,,,,,,,,,,
H,Govinakovi_1,710,1030,45,E,,,,,,,,,,
D,CHAMARAJANAGARA,787,906,15,N,,,,,,,,,,
T,CHAMARAJANAGARA,770,915,19,N,,,,,,,,,,
H,Chamarajanagara,770,859,12,N,,,,,,,,,,
H,Chandakavadi,793,1005,27,E,,,,,,,,,,
H,Haradanhalli,774,856,11,N,,,,,,,,,,
H,Harve,752,868,15,N,,,,,,,,,,
H,Santemarahalli,838,918,10,N,,,,,,,,,,
T,Gundlupet,792,828,5,N,,,,,,,,,,
H,Gundlupet,792,719,-9,N,,,,,,,,,,
H,Begur,648,763,18,N,,,,,,,,,,
H,Terakanambi,766,817,7,N,,,,,,,,,,
H,Hangala,784,889,13,N,,,,,,,,,,
T,Kollegal,843,886,5,N,,,,,,,,,,
H,Kollegala,843,877,4,N,,,,,,,,,,
H,Palya,802,891,11,N,,,,,,,,,,
T,Yelandur,867,981,13,N,,,,,,,,,,
H,Yelandur,867,971,12,N,,,,,,,,,,
H,Agara,771,985,28,E,,,,,,,,,,
T,Hanur,754,939,25,E,,,,,,,,,,
H,Hanur,754,820,9,N,,,,,,,,,,
H,Lokkanahalli,781,903,16,N,,,,,,,,,,
H,Ramapura,811,995,23,E,,,,,,,,,,
D,MYSURU,837,955,14,N,,,,,,,,,,
T,HEGGADADEVANAKOTE,837,983,18,N,,,,,,,,,,
H,Heggadadevanakote,837,960,15,N,,,,,,,,,,
H,Antarasante,1031,1046,1,N,,,,,,,,,,
H,Hampapura,764,877,15,N,,,,,,,,,,
T,Hunsur,799,938,17,N,,,,,,,,,,
H,Hunsur,799,908,14,N,,,,,,,,,,
H,Bilikere,764,951,24,E,,,,,,,,,,
H,Gowdargyare,767,941,23,E,,,,,,,,,,
H,Hanagoadu,976,944,-3,N,,,,,,,,,,
T,Krishnarajanagar,735,923,26,E,,,,,,,,,,
H,Krishnarajanagar,735,884,20,E,,,,,,,,,,
H,Chanachanakatte,698,956,37,E,,,,,,,,,,
H,Hebbalu,721,848,18,N,,,,,,,,,,
H,Hasa Agrahar,682,842,24,E,,,,,,,,,,
H,Mirale,690,978,42,E,,,,,,,,,,
H,Saligram,662,1002,51,E,,,,,,,,,,
T,Mysuru,810,1070,32,E,,,,,,,,,,
H,Mysuru,810,1122,38,E,,,,,,,,,,
H,Elivala,757,974,29,E,,,,,,,,,,
H,Jayapura,774,1083,40,E,,,,,,,,,,
H,Varuna,738,1083,47,E,,,,,,,,,,
T,Nanjanagud,730,847,16,N,,,,,,,,,,
H,Nanjangud,730,805,10,N,,,,,,,,,,
H,Biligere,726,869,20,E,,,,,,,,,,
H,Chikkayyana Chattra,732,1058,44,E,,,,,,,,,,
H,Hullahalli,788,778,-1,N,,,,,,,,,,
H,Doddakowlande,731,832,14,N,,,,,,,,,,
T,Periyapatna,852,987,16,N,,,,,,,,,,
H,Periyapatna,852,970,14,N,,,,,,,,,,
H,Bettadpur,770,993,29,E,,,,,,,,,,
H,Haranahalli,957,1079,13,N,,,,,,,,,,
H,Ravanduru,810,864,7,N,,,,,,,,,,
T,T.NARASIPURA,738,1006,36,E,,,,,,,,,,
H,T.Narasipur,738,1099,49,E,,,,,,,,,,
H,Bannur,721,1000,39,E,,,,,,,,,,
H,Muguru,781,894,14,N,,,,,,,,,,
H,Sosale,738,1092,48,E,,,,,,,,,,
H,Talakad,777,942,21,E,,,,,,,,,,
T,Saraguru,949,898,-5,N,,,,,,,,,,
H,Saraguru,949,860,-9,N,,,,,,,,,,
