District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP,Class
D,BENGALURU URBAN,846,1456,72,LE
T,Anekal,902,1427,58,E
T,Bengaluru North,1004,1383,38,E
T,Bengaluru South,820,1495,82,LE
T,Bengaluru East,815,1424,75,LE
T,Yelahanka,752,1543,105,LE
D,BENGALURU RURAL,798,1498,88,LE
T,Devanahalli,808,1505,86,LE
T,DODDABALLAPURA,799,1581,98,LE
T,HOSAKOTE,857,1349,57,E
T,Nelamangala,954,1516,59,E
D,RAMANAGARA,840,1512,80,LE
T,Channapatna,861,1581,83,LE
T,Kanakapura,797,1438,81,LE
T,Magadi,1000,1546,55,E
T,Ramanagara,921,1590,73,LE
D,KOLAR,735,1250,70,LE
T,Bangarapet,764,1283,68,LE
T,Kolar,784,1334,70,LE
T,Malur,798,1495,87,LE
T,MULABAGILU,804,1142,42,E
T,Srinivasapura,758,1127,49,E
T,K.G.F,890,1105,24,E
D,CHIKKABALLAPURA,736,1134,54,E
T,Bagepalli,695,958,38,E
T,CHIKKABALLAPURA,828,1251,51,E
T,Chintamani,787,1011,28,E
T,Gauribidanur,704,1370,95,LE
T,Gudibanda,694,1120,61,LE
T,Sidlaghatta,763,1121,47,E
D,TUMAKURU,669,1358,103,LE
T,CHIKKANAYAKANAHALLI,761,1210,59,E
T,Gubbi,809,1500,85,LE
T,Koratagere,777,1487,91,LE
T,Kunigal,825,1546,87,LE
T,Madhugiri,730,1397,91,LE
T,Pavagada,611,1142,87,LE
T,Sira,638,1157,81,LE
T,Tiptur,731,1332,82,LE
T,Tumakuru,830,1552,87,LE
T,Turuvekere,772,1490,93,LE
D,CHITRADURGA,540,839,55,E
T,Challakere,485,757,56,E
T,Chitradurga,666,883,33,E
T,Hiriyur,578,848,47,E
T,Holalkere,722,849,18,N
T,Hosadurga,648,1041,61,LE
T,Molakalmuru,545,560,3,N
D,DAVANAGERE,659,1162,76,LE
T,Channagiri,840,1214,45,E
T,Davanagere,641,1175,83,LE
T,HARIHARA,630,1087,73,LE
T,Honnali,662,1285,94,LE
T,Jagalur,528,968,83,LE
T,Nyamati,826,1394,69,LE
D,CHAMARAJANAGARA,787,1159,47,E
T,CHAMARAJANAGARA,770,1444,88,LE
T,Gundlupet,792,1160,46,E
T,Kollegal,843,1110,32,E
T,Yelandur,867,1398,61,LE
T,Hanur,754,993,32,E
D,MYSURU,837,1318,57,E
T,HEGGADADEVANAKOTE,837,1391,66,LE
T,Hunsur,799,1318,65,LE
T,Krishnarajanagar,735,1400,91,LE
T,Mysuru,810,1356,67,LE
T,Nanjanagud,730,1240,70,LE
T,Periyapatna,852,1296,52,E
T,T.NARASIPURA,738,1345,82,LE
T,Saraguru,949,1183,25,E
D,MANDYA,699,1484,112,LE
T,Krishnarajapet,747,1520,103,LE
T,Maddur,767,1479,93,LE
T,Malavalli,703,1383,97,LE
T,Mandya,699,1646,135,LE
T,Nagamangala,765,1460,91,LE
T,Pandavapura,679,1464,115,LE
T,Srirangapatna,638,1421,123,LE
D,BALLARI,599,795,33,E
T,Ballari,516,639,24,E
T,KUDLIGI,590,827,40,E
T,Sandur,819,809,-1,N
T,Siruguppa,675,820,22,E
T,Kurugodu,499,814,63,LE
D,KOPPALA,614,744,21,E
T,Gangavathi,583,708,21,E
T,KOPPALA,635,762,20,E
T,Kushtagi,597,715,20,E
T,Yelburga,597,797,34,E
T,Karatagi,640,722,13,N
T,Kukanuru,693,756,9,N
T,Kanakagiri,525,700,33,E
D,RAICHUR,654,805,23,E
T,Deodurga,759,758,0,N
T,Lingsugur,631,896,42,E
T,Manvi,652,835,28,E
T,Raichur,736,663,-10,N
T,Sindhanur,691,748,8,N
T,Maski,558,881,58,E
T,Sirivara,589,816,39,E
D,KALABURAGI,770,847,10,N
T,Afzalpur,692,762,10,N
T,Aland,763,874,15,N
T,Chincholi,913,879,-4,N
T,CHITTAPUR,771,887,15,N
T,Kalaburagi,794,837,5,N
T,Jevargi,805,821,2,N
T,Sedam,791,911,15,N
T,Kalagi,766,891,16,N
T,Kamalapura,762,915,20,E
T,Yadrami,687,723,5,N
T,Shahbadha,758,864,14,N
D,BIDAR,838,952,14,N
T,Aurad,854,1066,25,E
T,Bidar,939,994,6,N
T,Bhalki,874,1019,17,N
T,Basavakalyan,790,921,17,N
T,Humnabad,834,876,5,N
T,Chittaguppa,759,795,5,N
T,Kamalanagara,902,992,10,N
T,Hulasuru,739,857,16,N
D,BELAGAVI,826,1194,45,E
T,Athani,539,796,48,E
T,Bailhongal,816,1038,27,E
T,Belagavi,1363,1360,0,N
T,Chikkodi,666,998,50,E
T,Gokak,524,908,73,LE
T,Hukkeri,649,1016,57,E
T,Khanapur,1950,2471,27,E
T,RAMADURGA,540,953,76,LE
T,Raibagh,483,963,99,LE
T,Soundatti,568,947,67,LE
T,Kitthuru,1036,1292,25,E
T,Nippani,838,1290,54,E
T,Kagavada,541,892,65,LE
T,Mudagali,534,917,72,LE
D,BAGALKOTE,582,807,39,E
T,Badami,600,945,58,E
T,Bagalkote,613,723,18,N
T,Bilgi,609,792,30,E
T,Hungund,670,750,12,N
T,Jamkhandi,548,781,42,E
T,Mudhol,532,822,55,E
T,Guledagudda,607,871,44,E
T,Ilkal,651,769,18,N
T,Rabakavi Banahatti,496,857,73,LE
D,VIJAYAPURA,591,760,29,E
T,BAGEVADI,669,710,6,N
T,Vijayapura,671,717,7,N
T,Indi,620,697,12,N
T,Muddebihal,652,794,22,E
T,Sindgi,658,702,7,N
T,Babaleshwara,545,770,41,E
T,Chadachana,552,907,64,LE
T,Nidagundi,616,766,24,E
T,Talikote,586,858,47,E
T,Tikota,406,728,79,LE
T,Kolhara,606,786,30,E
T,Devara Hipparagi,630,764,21,E
D,GADAG,624,995,60,E
T,Gadag,659,990,50,E
T,Mundargi,557,963,73,LE
T,Naragund,557,893,60,LE
T,Ron,699,950,36,E
T,Shirahatti,689,1159,68,LE
T,Gajendragad,737,920,25,E
T,Laxmeshwar,594,1126,90,LE
D,HAVERI,800,1023,28,E
T,Byadgi,679,966,42,E
T,Hanagal,1044,1185,14,N
T,Haveri,778,932,20,E
T,Hirekerur,856,1075,26,E
T,RANEBENNUR,623,1072,72,LE
T,Savanur,699,1044,49,E
T,Shiggaon,814,1004,23,E
T,Ratteehalli,790,921,17,N
D,DHARWAD,787,1051,34,E
T,Dharwad,777,1016,31,E
T,Hubballi,772,1117,45,E
T,Kalghatgi,979,1155,18,N
T,Kundgol,661,1093,65,LE
T,Navalgund,631,812,29,E
T,Hubballi Nagara,746,911,22,E
T,Alnavara,1267,1321,4,N
T,Annigeri,651,1016,56,E
D,SHIVAMOGGA,2325,2439,5,N
T,Bhadravathi,866,1345,55,E
T,HOSANAGARA,3071,3234,5,N
T,SAGARA,2495,3196,28,E
T,SHIKARIPURA,975,1356,39,E
T,Shivamogga,842,1507,79,LE
T,SORABA,1541,1909,24,E
T,Tirthahalli,2867,3153,10,N
D,HASSAN,1142,1701,49,E
T,Alur,1149,1483,29,E
T,ARKALGUD,885,1366,54,E
T,ARASIKERE,696,982,41,E
T,Belur,1021,1532,50,E
T,Channarayapatna,690,1342,95,LE
T,Hassan,846,1289,52,E
T,HOLENARASIPURA,768,1398,82,LE
T,SAKALESHPURA,2247,3522,57,E
D,CHIKKAMAGALURU,1833,2278,24,E
T,CHIKKAMAGALURU,836,2069,148,LE
T,Kadur,639,1056,65,LE
T,Koppa,2907,3510,21,E
T,Mudigere,2315,3616,56,E
T,NARASIMHARAJAPURA,1609,2376,48,E
T,Sringeri,3887,4735,22,E
T,Tarikere,914,1350,48,E
T,Ajjampura,669,1205,80,LE
D,KODAGU,2729,3036,11,N
T,Madikeri,3265,4214,29,E
T,Somwarpet,2098,2397,14,N
T,Virajpet,2468,2312,-6,N
D,DAKSHINA KANNADA,4006,4383,9,N
T,Beltangadi,4426,4643,5,N
T,Bantwal,3856,3904,1,N
T,Mangaluru,3609,3354,-7,N
T,Puttur,4058,3924,-3,N
T,Sulya,3592,4859,35,E
T,Mudabidri,4010,4608,15,N
T,Kadaba,4135,4747,15,N
D,UDUPI,4535,4672,3,N
T,Karkala,4777,4540,-5,N
T,Kundapur,3786,4526,20,E
T,Udupi,3862,4095,6,N
T,Bynduru,4428,5316,20,E
T,Bramhavara,4043,4155,3,N
T,Kapu,3757,3845,2,N
T,Hebri,5802,5765,-1,N
D,UTTARA KANNADA,2936,2981,2,N
T,Ankola,3532,3542,0,N
T,Bhatkal,4322,4608,7,N
T,Haliyal,1339,1593,19,N
T,Honnavar,3728,4096,10,N
T,Karwar,3234,3416,6,N
T,Kumta,3523,3783,7,N
T,Mundgod,1438,1651,15,N
T,SIDDAPUR,3016,3714,23,E
T,SIRSI,2360,3230,37,E
T,SUPA,2578,2723,6,N
T,YELLAPUR,2668,2313,-13,N
T,Dandelli,1540,1586,3,N
D,YADGIR,719,933,30,E
T,Shahapur,848,891,5,N
T,Shorapur,721,894,24,E
T,Yadgir,908,926,2,N
T,Gurumithakala,773,1011,31,E
T,Vadagera,617,958,55,E
T,Hunisigi,501,869,74,LE
D,VIJAYANAGAR,643,927,44,E
T,Hosapete,704,858,22,E
T,Hadagali,641,1018,59,E
T,HAGARIBOMMANAHALLI,635,852,34,E
T,HARAPPANAHALLI,755,1015,35,E
T,Kotturu,533,963,81,LE
T,Kampli,531,904,70,LE
,1.SIK,714,1246,75,LE
,2.NIK,702,915,30,E
,3.MALNAD,1950,2303,18,N
,4.COASTAL,3518,3672,4,N
,State,1153,1474,28,E
